date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:30	32275/32275	---M--	200	added ('OK')	text/html	etag:%227e13-54a0e2bc16759%22	https://abc/wedding/wedding-new/index.html	C:/client%203/abc/wedding/wedding-new/index.html	(from )
22:38:32	67/67	---MC-	200	added ('OK')	text/plain	date:Thu,%2019%20Dec%202019%2006:38:30%20GMT	https://abc/robots.txt		(from )
22:38:33	122540/122540	---M-Z	200	added ('OK')	text/css	etag:%221deac-518a03c5b3e80-gzip%22	https://abc/wedding/wedding-new/css/bootstrap.min.css	C:/client%203/abc/wedding/wedding-new/css/bootstrap.min.css	(from https://abc/wedding/wedding-new/index.html)
22:38:33	81334/81334	---M-Z	200	added ('OK')	text/css	etag:%2213db6-5426fdc74d2c0-gzip%22	https://abc/wedding/wedding-new/css/style.css	C:/client%203/abc/wedding/wedding-new/css/style.css	(from https://abc/wedding/wedding-new/index.html)
22:38:34	1464/1464	---M-Z	200	added ('OK')	text/css	etag:%225b8-521d25a563080-gzip%22	https://abc/wedding/wedding-new/css/owl.carousel.css	C:/client%203/abc/wedding/wedding-new/css/owl.carousel.css	(from https://abc/wedding/wedding-new/index.html)
22:38:35	1699/1699	---M-Z	200	added ('OK')	text/css	etag:%226a3-52062f45a5d80-gzip%22	https://abc/wedding/wedding-new/css/owl.theme.css	C:/client%203/abc/wedding/wedding-new/css/owl.theme.css	(from https://abc/wedding/wedding-new/index.html)
22:38:35	4476/4476	---M-Z	200	added ('OK')	text/css	etag:%22117c-4f704eb45e980-gzip%22	https://abc/wedding/wedding-new/css/owl.transitions.css	C:/client%203/abc/wedding/wedding-new/css/owl.transitions.css	(from https://abc/wedding/wedding-new/index.html)
22:38:36	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	C:/client%203/maxcdn.bootstrapcdn.com/font-awesome/4.4.0/css/font-awesome.min.css	(from https://abc/wedding/wedding-new/index.html)
22:38:37	1660/1660	---M--	200	added ('OK')	image/x-icon	etag:%2267c-5205293861b80%22	https://abc/wedding/wedding-new/images/favicon.ico	C:/client%203/abc/wedding/wedding-new/images/favicon.ico	(from https://abc/wedding/wedding-new/index.html)
22:38:37	17020/17020	---M--	200	added ('OK')	text/html	etag:%22427c-54a0e2bea8ea9%22	https://abc/wedding/wedding-new/faq.html	C:/client%203/abc/wedding/wedding-new/faq.html	(from https://abc/wedding/wedding-new/index.html)
22:38:38	21265/21265	---M--	200	added ('OK')	text/html	etag:%225311-54a0e2b681ba3%22	https://abc/wedding/wedding-new/pricing-plan.html	C:/client%203/abc/wedding/wedding-new/pricing-plan.html	(from https://abc/wedding/wedding-new/index.html)
22:38:38	18474/18474	---M--	200	added ('OK')	text/html	etag:%22482a-54a0e2aff186e%22	https://abc/wedding/wedding-new/signup-couple.html	C:/client%203/abc/wedding/wedding-new/signup-couple.html	(from https://abc/wedding/wedding-new/index.html)
22:38:38	16985/16985	---M--	200	added ('OK')	text/html	etag:%224259-54a0e2afe5136%22	https://abc/wedding/wedding-new/signup-vendor.html	C:/client%203/abc/wedding/wedding-new/signup-vendor.html	(from https://abc/wedding/wedding-new/index.html)
22:38:39	17734/17734	---M--	200	added ('OK')	text/html	etag:%224546-54a0e2bbd6015%22	https://abc/wedding/wedding-new/login-page.html	C:/client%203/abc/wedding/wedding-new/login-page.html	(from https://abc/wedding/wedding-new/index.html)
22:38:39	4659/4659	---M--	200	added ('OK')	image/png	etag:%221233-53ab95223ec40%22	https://abc/wedding/wedding-new/images/logo.png	C:/client%203/abc/wedding/wedding-new/images/logo.png	(from https://abc/wedding/wedding-new/index.html)
22:38:40	32315/32315	---M--	200	added ('OK')	text/html	etag:%227e3b-54a0e2bd51a64%22	https://abc/wedding/wedding-new/index-2.html	C:/client%203/abc/wedding/wedding-new/index-2.html	(from https://abc/wedding/wedding-new/index.html)
22:38:40	37031/37031	---M--	200	added ('OK')	text/html	etag:%2290a7-54a0e2a7a0d56%22	https://abc/wedding/wedding-new/vendor-listing-row-map.html	C:/client%203/abc/wedding/wedding-new/vendor-listing-row-map.html	(from https://abc/wedding/wedding-new/index.html)
22:38:40	36825/36825	---M--	200	added ('OK')	text/html	etag:%228fd9-54a0e2a7903b5%22	https://abc/wedding/wedding-new/vendor-listing-sidebar.html	C:/client%203/abc/wedding/wedding-new/vendor-listing-sidebar.html	(from https://abc/wedding/wedding-new/index.html)
